comm_no,strategy,contract,lot
shcu,st301a_cu_day,cu1810,1
shrb,st301a_rb_day,rb1901,45
shpb,st301a_pb_day,pb1810,1
shcu,st303a_cu_day,cu1810,1
shrb,st303a_rb_day,rb1901,45
shbu,st303a_bu_day,bu1812,1
shrb,st305a_rb_day,rb1901,45
shpb,st305a_pb_day,pb1810,1
shrb,st306a_rb_day,rb1901,40
shrb,st307a_rb_day,rb1901,45
shcu,st309a_cu_day,cu1810,1
shrb,st309a_rb_day,rb1901,45
shpb,st309a_pb_day,pb1810,1
shrb,st310a_rb_day,rb1901,1
shrb,st311a_rb_day,rb1901,45
shpb,st311a_pb_day,pb1810,1
shcu,st314a_cu_day,cu1810,1
shrb,st314a_rb_day,rb1901,45
shpb,st314a_pb_day,pb1810,1
