comm_no,strategy,contract,lot
dly,fl34_dly_day,y1705,3
dly,fl36_dly_day,y1705,2
dly,fl60_dly_day,y1705,2
dly,fw10_dly_day,y1705,1
dly,fd10_dly_day,y1705,3
dlm,fl34_dlm_day,m1705,5
dlm,fl36_dlm_day,m1705,4
dlm,fl60_dlm_day,m1705,2
dlm,fd10_dlm_day,m1705,3
dlm,fw10_dlm_day,m1705,2
dlv,fl34_dlv_day,v1705,1
dlv,fl36_dlv_day,v1705,1
dlv,fl60_dlv_day,v1705,1
dlv,fw10_dlv_day,v1705,1
dli,fl34_dli_day,i1705,2
dli,fl36_dli_day,i1705,1
dli,fl60_dli_day,i1705,1
dli,fd10_dli_day,i1705,3
dla,fl34_dla_day,a1705,1
