comm_no,strategy,contract,lot
m,fl34_dlm_day,m1705,20
m,fl36_dlm_day,m1705,20
m,fw10_dlm_day,m1705,20
m,fd10_dlm_day,m1705,5
jd,fl34_dljd_day,jd1705,6
jd,fl36_dljd_day,jd1705,6
jd,fw10_dljd_day,jd1705,3
a,fl34_dla_day,a1705,4
a,fl36_dla_day,a1705,1
a,fw10_dla_day,a1705,4
i,fl34_dli_day,i1705,45
i,fl36_dli_day,i1705,35
i,fw10_dli_day,i1705,15
i,fd10_dli_day,i1705,15
y,fl36_dly_day,y1705,2
y,fl34_dly_day,y1705,2
y,fw10_dly_day,y1705,3
y,fd10_dly_day,y1705,3
cs,fl34_dlcs_day,cs1705,6
cs,fd10_dlcs_day,cs1705,6
