comm_no,strategy,contract,lot
dlp,st134_dlp_day,p1709,1
dlcs,st134_dlcs_day,cs1709,1
dll,st134_dll_day,l1709,1
dljd,st134_dljd_day,jd1709,1
dlpp,st134_dlpp_day,pp1709,1
dlp,st136_dlp_day,p1709,1
dlcs,st136_dlcs_day,cs1709,1
dll,st136_dll_day,l1709,1
dljd,st136_dljd_day,jd1709,1
dlpp,st136_dlpp_day,pp1709,1
dlp,st160_dlp_day,p1709,1
dlcs,st160_dlcs_day,cs1709,1
dll,st160_dll_day,l1709,1
dljd,st160_dljd_day,jd1709,1
dlp,st162_dlp_day,p1709,1
dlcs,st162_dlcs_day,cs1709,1
dll,st162_dll_day,l1709,1
dljd,st162_dljd_day,jd1709,1
dlp,st163_dlp_day,p1709,1
dlcs,st163_dlcs_day,cs1709,1
dll,st163_dll_day,l1709,1
dljd,st163_dljd_day,jd1709,1
dlp,st172_dlp_day,p1709,1
dlcs,st172_dlcs_day,cs1709,1
dll,st172_dll_day,l1709,1
dljd,st172_dljd_day,jd1709,1
dlpp,st172_dlpp_day,pp1709,1
