comm_no,strategy,contract,lot
ru,fl34_ru_day,ru1709,2
ag,fl34_ag_day,ag1706,5
zn,fl34_zn_day,zn1706,3
al,fl34_al_day,al1706,1
bu,fl34_bu_day,bu1706,5
pb,fl34_pb_day,pb1706,1

pb,fl35_pb_day,pb1706,1

ru,fl36_ru_day,ru1709,1
zn,fl36_zn_day,zn1706,2
ag,fl36_ag_day,ag1706,3
al,fl36_al_day,al1706,1
rb,fl36_rb_day,rb1710,10

ru,fl60_ru_day,ru1709,5
ag,fl60_ag_day,ag1706,7
zn,fl60_zn_day,zn1706,3
al,fl60_al_day,al1706,2
rb,fl60_rb_day,rb1710,5
pb,fl60_pb_day,pb1706,1

ru,fl62_ru_day,ru1709,3
ag,fl62_ag_day,ag1706,5
zn,fl62_zn_day,zn1706,3
al,fl62_al_day,al1706,2
pb,fl62_pb_day,pb1706,1

ru,fl63_ru_day,ru1709,4
ag,fl63_ag_day,ag1706,5
zn,fl63_zn_day,zn1706,5
al,fl63_al_day,al1706,4
rb,fl63_rb_day,rb1710,10
bu,fl63_bu_day,bu1706,7
pb,fl63_pb_day,pb1706,1

