comm_no,strategy,contract,lot
al,fl52_al_day,al1705,1
au,fl52_au_day,au1706,1
cu,fl52_cu_day,cu1705,1
hc,fl52_hc_day,hc1710,1
ni,fl52_ni_day,ni1705,1
pb,fl52_pb_day,pb1705,1
rb,fl52_rb_day,rb1710,1
ru,fl52_ru_day,ru1709,1
zn,fl52_zn_day,zn1705,1
ag,fl52_ag_day,ag1706,1
ag,fl50_ag_day,ag1706,1
al,fl50_al_day,al1705,1
au,fl50_au_day,au1706,1
cu,fl50_cu_day,cu1705,1
hc,fl50_hc_day,hc1710,1
ni,fl50_ni_day,ni1705,1
pb,fl50_pb_day,pb1705,1
rb,fl50_rb_day,rb1710,1
ru,fl50_ru_day,ru1709,1
zn,fl50_zn_day,zn1705,1
ag,fl51_ag_day,ag1706,1
al,fl51_al_day,al1705,1
au,fl51_au_day,au1706,1
cu,fl51_cu_day,cu1705,1
hc,fl51_hc_day,hc1710,1
ni,fl51_ni_day,ni1705,1
pb,fl51_pb_day,pb1705,1
rb,fl51_rb_day,rb1710,1
ru,fl51_ru_day,ru1709,1
zn,fl51_zn_day,zn1705,1
