comm_no,strategy,contract,lot
shni,st160b_ni_night,ni1709,2
shru,st160b_ru_night,ru1709,1
shcu,st160b_cu_night,cu1707,1
shag,st160b_ag_night,ag1712,5
shzn,st160b_zn_night,zn1707,2
shrb,st160b_rb_night,rb1710,5
shpb,st160b_pb_night,pb1706,1
shhc,st160b_hc_night,hc1710,2
shni,st162b_ni_night,ni1709,2
shcu,st162b_cu_night,cu1707,1
shzn,st162b_zn_night,zn1707,4
shrb,st162b_rb_night,rb1710,10
shpb,st162b_pb_night,pb1706,1
shhc,st162b_hc_night,hc1710,1
shni,st163b_ni_night,ni1709,1
shzn,st163b_zn_night,zn1707,3
shrb,st163b_rb_night,rb1710,10
shhc,st163b_hc_night,hc1710,2
