comm_no,strategy,contract,lot
zzsr,st134_zzsr_day,SR709,4
zzma,st134_zzma_day,MA709,10
zzta,st134_zzta_day,TA709,10
zzsm,st134_zzsm_day,SM709,3
zzsr,st136_zzsr_day,SR709,4
zzma,st136_zzma_day,MA709,7
zzta,st136_zzta_day,TA709,10
zzsm,st136_zzsm_day,SM709,3
zzsr,st160_zzsr_day,SR709,4
zzma,st160_zzma_day,MA709,10
zzta,st160_zzta_day,TA709,10
zzsm,st160_zzsm_day,SM709,3
zzsr,st162_zzsr_day,SR709,4
zzma,st162_zzma_day,MA709,7
zzta,st162_zzta_day,TA709,5
zzsm,st162_zzsm_day,SM709,3
zzsr,st163_zzsr_day,SR709,4
zzma,st163_zzma_day,MA709,6
zzta,st163_zzta_day,TA709,8
zzsm,st163_zzsm_day,SM709,3
zzsr,st172_zzsr_day,SR709,4
zzma,st172_zzma_day,MA709,10
zzta,st172_zzta_day,TA709,10
zzsm,st172_zzsm_day,SM709,3
zzsr,st174_zzsr_day,SR709,3
zzta,st174_zzta_day,TA709,5
zzsm,st174_zzsm_day,SM709,2
zzsr,st176_zzsr_day,SR709,3
zzma,st176_zzma_day,MA709,4
zzta,st176_zzta_day,TA709,5
zzsm,st176_zzsm_day,SM709,2
