comm_no,strategy,contract,lot
zzsr,st134_zzsr_night,SR709,12
zzma,st134_zzma_night,MA709,10
zzcf,st134_zzcf_night,CF709,2
zzsr,st136_zzsr_night,SR709,12
zzma,st136_zzma_night,MA709,7
zzcf,st136_zzcf_night,CF709,4
zzsr,st160_zzsr_night,SR709,10
zzma,st160_zzma_night,MA709,4
zzcf,st160_zzcf_night,CF709,4
zzsr,st162_zzsr_night,SR709,12
zzzc,st162_zzzc_night,ZC709,4
zzsr,st163_zzsr_night,SR709,8
zzma,st163_zzma_night,MA709,3
zzcf,st163_zzcf_night,CF709,2
zzsr,st172_zzsr_night,SR709,6
zzma,st172_zzma_night,MA709,5
zzcf,st172_zzcf_night,CF709,4
