comm_no,strategy,contract,lot
ni,fl34_ni_day,ni1705,2
ni,fl35_ni_day,ni1705,2
cu,fl34_cu_day,cu1705,4
cu,fl36_cu_day,cu1705,1
cu,fl60_cu_day,cu1705,2
cu,fw10_cu_day,cu1705,2
zn,fl34_zn_day,zn1705,6
zn,fl36_zn_day,zn1705,1
zn,fl60_zn_day,zn1705,2
zn,fw10_zn_day,zn1705,2
zn,fd10_zn_day,zn1705,2
al,fl34_al_day,al1705,4
al,fl36_al_day,al1705,4
al,fd10_al_day,al1705,1
pb,fl34_pb_day_4,pb1704,2
pb,fl34_pb_day_5,pb1705,1
pb,fl35_pb_day,pb1704,1
pb,fl60_pb_day,pb1704,1
pb,fd10_pb_day,pb1704,2
au,fl34_au_day,au1706,1
au,fl36_au_day,au1706,1
au,fl60_au_day,au1706,2
rb,fd10_rb_day,rb1705,5
