20170123|shau|0|2.21|1.247|28.91|10.0|5428.5|4|13.3901905922 |8|19.2803811845
20170124|shau|0|2.245|1.26|26.58|10.0|5455.5|99|-2165.89360084 |83|-2034.4461502
20170125|shau|0|10000|0|-62.76|17.0|5447.5|0|0 |0|0
20170126|shau|0|10000|0|-62.68|17.0|5392.5|0|0 |0|0
20170203|shau|0|10000|0|-62.55|17.0|5351.5|0|0 |0|0
20170206|shau|0|10000|0|-61.97|17.0|5431.5|0|0 |0|0
20170207|shau|0|10000|0|-61.72|16.0|5486.5|0|0 |0|0
20170208|shau|0|10000|0|-61.63|17.0|5529.5|no result
20170123|shag|0|2.321|1.366|20.44|13.0|4102.0|8|14.3586864577 |1|4.98233580721
20170124|shag|0|2.312|1.366|20.5|13.0|4128.5|23|-186.416521204 |15|-228.771644263
20170125|shag|0|10000|0|-68.36|22.0|4117.5|0|0 |0|0
20170126|shag|0|10000|0|-67.82|22.0|4074.5|0|0 |0|0
20170203|shag|0|10000|0|-67.16|22.0|4024.5|0|0 |0|0
20170206|shag|0|10000|0|-65.95|22.0|4094.5|0|0 |0|0
20170207|shag|0|10000|0|-64.83|22.0|4150.5|0|0 |0|0
20170208|shag|0|10000|0|-64.71|23.0|4162.5|no result
20170123|shcu|0|2.503|1.408|23.87|5.0|4608.5|31|53.3903774439 |14|17.4021059424
20170124|shcu|0|2.478|1.408|24.17|5.0|4685.5|141|-1175.70335171 |144|-1068.11193367
20170125|shcu|0|10000|0|-95.19|8.0|4707.5|0|0 |0|0
20170126|shcu|0|10000|0|-93.96|8.0|4764.0|0|0 |0|0
20170203|shcu|0|10000|0|-91.4|8.0|4799.5|0|0 |0|0
20170206|shcu|0|10000|0|-90.44|8.0|4678.5|0|0 |0|0
20170207|shcu|0|10000|0|-88.44|8.0|4660.5|0|0 |0|0
20170208|shcu|0|10000|0|-87.82|8.0|4685.0|no result
20170123|shpb|0|3.286|1.542|37.47|2.0|3594.5|41|52.9190294215 |27|21.6783852288
20170124|shpb|0|3.382|1.38|38.11|2.0|3744.0|154|-2068.20280047 |98|-841.038145752
20170125|shpb|0|10000|0|-77.42|2.0|3716.5|0|0 |0|0
20170126|shpb|0|10000|0|-78.37|2.0|3751.0|0|0 |0|0
20170203|shpb|0|10000|0|-78.27|2.0|3803.5|0|0 |0|0
20170206|shpb|0|10000|0|-79.73|2.0|3698.5|0|0 |0|0
20170207|shpb|0|10000|0|-80.33|2.0|3737.0|0|0 |0|0
20170208|shpb|0|10000|0|-80.32|2.0|3764.5|no result
20170123|shal|0|2.063|1.234|26.07|11.0|2667.5|29|47.510238593 |32|56.4250908612
20170124|shal|0|2.024|1.222|30.09|11.0|2738.5|83|-1078.51327524 |76|-863.48203516
20170125|shal|0|10000|0|-43.45|13.0|2745.5|0|0 |0|0
20170126|shal|0|10000|0|-42.81|13.0|2810.5|0|0 |0|0
20170203|shal|0|10000|0|-42.56|13.0|2767.5|0|0 |0|0
20170206|shal|0|10000|0|-42.23|12.0|2752.5|0|0 |0|0
20170207|shal|0|10000|0|-42.37|12.0|2725.5|0|0 |0|0
20170208|shal|0|10000|0|-42.11|13.0|2721.5|no result
20170123|shrb|0|10000|0|-232.0|34.0|3193.5|0|0 |0|0
20170124|shrb|0|10000|0|-228.46|34.0|3180.5|0|0 |0|0
20170125|shrb|0|10000|0|-184.52|35.0|3293.0|0|0 |0|0
20170126|shrb|0|10000|0|-182.68|34.0|3299.5|0|0 |0|0
20170203|shrb|0|10000|0|-181.48|34.0|3370.5|0|0 |0|0
20170206|shrb|0|10000|0|-166.43|33.0|3114.0|0|0 |0|0
20170207|shrb|0|10000|0|-165.12|33.0|3082.5|0|0 |0|0
20170208|shrb|0|10000|0|-165.63|33.0|3165.5|no result
20170123|shzn|0|2.431|1.167|54.34|6.0|4428.0|52|118.687225555 |44|-123.033886069
20170124|shzn|0|1.951|1.222|25.19|7.0|4562.5|227|-3844.95160591 |245|-4719.2341121
20170125|shzn|0|10000|0|-83.7|9.0|4551.5|0|0 |0|0
20170126|shzn|0|10000|0|-84.09|9.0|4566.0|0|0 |0|0
20170203|shzn|0|10000|0|-84.6|9.0|4641.5|0|0 |0|0
20170206|shzn|0|10000|0|-84.14|9.0|4527.5|0|0 |0|0
20170207|shzn|0|10000|0|-83.12|9.0|4483.5|0|0 |0|0
20170208|shzn|0|10000|0|-83.59|10.0|4535.5|no result
20170123|shru|0|3.053|2.337|2.48|4.0|3952.5|25|25.09243504 |18|38.9865532288
20170124|shru|0|3.039|2.337|2.5|4.0|3968.5|53|127.930141895 |67|172.119235981
20170125|shru|0|10000|0|-122.82|6.0|4047.5|0|0 |0|0
20170126|shru|0|10000|0|-122.95|6.0|4044.5|0|0 |0|0
20170203|shru|0|10000|0|-124.32|6.0|4295.5|0|0 |0|0
20170206|shru|0|10000|0|-122.06|6.0|4035.5|0|0 |0|0
20170207|shru|0|10000|0|-122.37|6.0|4016.5|0|0 |0|0
20170208|shru|0|3.756|2.79|4.89|3.0|4133.5|no result
20170123|shhc|0|7.263|1.997|30.78|3.0|3453.5|9|-3.30815410983 |2|5.82041019782
20170124|shhc|0|7.266|1.997|30.34|3.0|3460.5|51|-955.77014497 |38|-750.054225664
20170125|shhc|0|10000|0|-116.64|6.0|3584.0|0|0 |0|0
20170126|shhc|0|10000|0|-116.1|6.0|3600.5|0|0 |0|0
20170203|shhc|0|10000|0|-116.3|6.0|3658.5|0|0 |0|0
20170206|shhc|0|10000|0|-114.49|6.0|3383.0|0|0 |0|0
20170207|shhc|0|10000|0|-114.29|6.0|3384.5|0|0 |0|0
20170208|shhc|0|10000|0|-114.39|6.0|3467.5|no result
20170123|shni|0|6.064|2.313|30.38|2.0|8177.0|19|48.4155709725 |21|0.985631074854
20170124|shni|0|5.988|2.267|32.0|2.0|8274.5|38|84.5359073606 |42|212.69758182
20170125|shni|0|7.026|2.458|19.34|2.0|8243.0|16|21.639851828 |16|72.639851828
20170126|shni|0|7.147|2.458|19.63|2.0|8163.5|10|78.5174854865 |13|81.3227311325
20170203|shni|0|7.059|3.026|18.94|2.0|8253.0|10|-45.4716807688 |20|56.5566384624
20170206|shni|0|7.272|3.103|16.97|2.0|8469.5|7|6.24508485047 |11|-21.8291523778
