comm_no,strategy,contract,lot
zn,fl34_zn_day,zn1703,3
ni,fl34_ni_day,ni1705,1
ni,fl35_ni_day,ni1705,1
al,fl36_al_day,al1703,1
zn,fl36_zn_day,zn1703,2
cu,fl34_cu_day,cu1703,1
ag,fl34_ag_day,ag1706,2
ni,fw10_ni_day,ni1705,1
al,fl34_al_day,al1703,1
al,fw10_al_day,al1703,1
pb,fl34_pb_day,pb1702,1
pb,fw10_pb_day,pb1702,1
zn,fw10_zn_day,zn1703,2
cu,fw10_cu_day,cu1703,1
pb,fl35_pb_day,pb1702,1
ag,fl36_ag_day,ag1706,5
ag,fw10_ag_day,ag1706,5
pb,fd10_pb_day,pb1702,1
au,fl34_au_day,au1706,3
au,fw10_au_day,au1706,1
ru,fl34_ru_day,ru1705,2
hc,fl34_hc_day,hc1705,2
