comm_no,strategy,contract,lot
ni,fl34_ni_day,ni1705,1
ni,fl35_ni_day,ni1705,1
ni,fd10_ni_day,ni1705,1
cu,fl34_cu_day,cu1704,2
cu,fl36_cu_day,cu1704,1
cu,fw10_cu_day,cu1704,2
cu,fd10_cu_day,cu1704,1
ag,fl34_ag_day,ag1706,5
ag,fl36_ag_day,ag1706,5
zn,fl34_zn_day,zn1704,2
zn,fw10_zn_day,zn1704,2
zn,fd10_zn_day,zn1704,1
pb,fl34_pb_day,pb1704,1
pb,fd10_pb_day,pb1704,2
au,fl34_au_day,au1706,1
au,fl36_au_day,au1706,1
au,fd10_au_day,au1706,1
ru,fl36_ru_day,ru1705,1
ru,fw10_ru_day,ru1705,1
rb,fd10_rb_day,rb1705,5
al,fd10_al_day,al1704,1
