comm_no,strategy,contract,lot
ni,fl34_ni_night,ni1705,1
ni,fl35_ni_night,ni1705,1
cu,fl34_cu_night,cu1704,1
cu,fl34_cu_night,cu1705,1
cu,fl36_cu_night,cu1704,1
ru,fl34_ru_night,ru1705,6
ru,fl36_ru_night,ru1705,5
ag,fl34_ag_night,ag1706,5
zn,fl34_zn_night,zn1704,2
zn,fl34_zn_night,zn1705,2
zn,fl36_zn_night,zn1704,3
zn,fl36_zn_night,zn1705,3
al,fl34_al_night,al1704,1
al,fl34_al_night,al1705,1
al,fl36_al_night,al1704,1
al,fl36_al_night,al1705,1
al,fw10_al_night,al1704,1
al,fw10_al_night,al1705,1
pb,fl34_pb_night,pb1704,1
pb,fl34_pb_night,pb1705,1
pb,fl35_pb_night,pb1704,1
pb,fl35_pb_night,pb1705,1
pb,fd10_pb_night,pb1704,1
rb,fl34_rb_night,rb1705,5
rb,fl36_rb_night,rb1705,5
