comm_no,strategy,contract,lot
shcu,st301a_cu_day,cu1810,1
shzn,st301a_zn_day,zn1810,1
shrb,st301a_rb_day,rb1901,40
shbu,st301a_bu_day,bu1812,1
shzn,st303a_zn_day,zn1810,1
shrb,st303a_rb_day,rb1901,40
shbu,st303a_bu_day,bu1812,1
shrb,st304a_rb_day,rb1901,40
shcu,st305a_cu_day,cu1810,1
shrb,st305a_rb_day,rb1901,40
shpb,st305a_pb_day,pb1810,1
shrb,st306a_rb_day,rb1901,40
shcu,st309a_cu_day,cu1810,1
shzn,st309a_zn_day,zn1810,1
shrb,st309a_rb_day,rb1901,40
shbu,st309a_bu_day,bu1812,1
shrb,st310a_rb_day,rb1901,40
shcu,st311a_cu_day,cu1810,1
shzn,st314a_zn_day,zn1810,1
shrb,st314a_rb_day,rb1901,40
shrb,st323a_rb_day,rb1901,10
shrb,st329a_rb_day,rb1901,5
shrb,st323b_rb_day,rb1901,10
shrb,st329b_rb_day,rb1901,5
