comm_no,strategy,contract,lot
zzap,st301a_zzap_day,AP901,1
zzsm,st301a_zzsm_day,SM901,1
zzta,st301a_zzta_day,TA901,3
zzap,st303a_zzap_day,AP901,1
zzsm,st303a_zzsm_day,SM901,1
zzta,st303a_zzta_day,TA901,3
zzsm,st305a_zzsm_day,SM901,1
zzsr,st305a_zzsr_day,SR901,1
zzta,st305a_zzta_day,TA901,3
zzap,st309a_zzap_day,AP901,1
zzsm,st309a_zzsm_day,SM901,1
zzsr,st309a_zzsr_day,SR901,1
zzta,st309a_zzta_day,TA901,3
cf,cpv7_zzcf_day,CF901,1
ma,chg3_zzma_day,MA901,1
sm,chg3_zzsm_day,SM901,1
sm,chg4_zzsm_day,SM901,1
ta,chg5_zzta_day,TA901,2
zc,cpv6_zzzc_day,ZC901,2
ap,hv5_zzap_day,AP901,1
ma,tst2_zzma_day,MA901,2
ma,xpv3_zzma_day,MA901,3
sr,xpv3_zzsr_day,SR901,3
ta,hv3_zzta_day,TA901,1
ta,hv5_zzta_day,TA901,1
ma,mpv0_zzma_day,MA901,5
sf,ipv8_zzsf_day,SF901,1
sf,mpv7_zzsf_day,SF901,1
sr,mpv2_zzsr_day,SR901,1
sr,mpv3_zzsr_day,SR901,2
zc,ipv3_zzzc_day,ZC901,1
