comm_no,strategy,contract,lot
CF,fw10_zzcf_night,CF705,4
CF,fl36_zzcf_night,CF705,5
CF,fl34_zzcf_night,CF705,5
CF,fl33_cf_night,CF705,1
TA,fl34_zzta_night,TA705,10
TA,fd10_zzta_night,TA705,5
TA,fl36_zzta_night,TA705,10
TA,fl33_ta_night,TA705,1
MA,fl33_ma_night,MA705,1
SR,fl36_zzsr_night,SR705,5
SR,fl34_zzsr_night,SR705,4
SR,fl33_sr_night,SR705,1
SR,fd10_zzsr_night,SR705,5
RM,fl36_zzrm_night,RM705,5
RM,fl33_rm_night,RM705,1
RM,fw10_zzrm_night,RM705,3
ZC,fl34_zzzc_night,ZC705,1
ZC,fl33_zc_night,ZC705,1
FG,fl33_fg_night,FG705,1
OI,fl33_oi_night,OI705,1
