comm,strategy,contract,lot
bu,chg2_shbu_night,bu1812,1
hc,ipv0_shhc_night,hc1810,1
ni,chg5_shni_night,ni1809,1
ni,chg6_shni_night,ni1809,1
ni,ipv9_shni_night,ni1809,1
ni,mpv0_shni_night,ni1809,1
ni,mpv4_shni_night,ni1809,1
ni,mpv5_shni_night,ni1809,1
ni,mpv7_shni_night,ni1809,1
ru,chg2_shru_night,ru1809,1
ru,mpv0_shru_night,ru1809,2
ru,mpv3_shru_night,ru1809,2
sc,hv3_shsc_night,sc1809,1
ag,hv7_shag_night,ag1812,1
au,hv3_shau_night,au1812,1
au,hv5_shau_night,au1812,2
ni,hv3_shni_night,ni1809,2
ni,hv5_shni_night,ni1809,1
ni,hv8_shni_night,ni1809,1
ni,tst3_shni_night,ni1809,2
ni,xpv4_shni_night,ni1809,1
ni,xpv5_shni_night,ni1809,1
rb,xpv1_shrb_night,rb1810,1
rb,xpv3_shrb_night,rb1810,10
ni,cpv5_shni_night,ni1809,1
ni,cpv7_shni_night,ni1809,1
