so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
chg3_a|90050|145700|145000|1|4.6|1|0.21|0|0
chg1_cs|90050|145700|145000|1|4.8|1.6|0.1575|0|0
chg5_j|90050|145700|145000|1|1.5|1.2|0|0.000189|0
chg5_jd|90050|145700|145000|1|1.5|1|0|0.0001575|0
chg2_m|90050|145700|145000|1|1.8|1.8|0.1575|0|0
chg4_m|90050|145700|145000|1|3.2|1|0.1575|0|0
chg1_p|90050|145700|145000|1|5|1.6|0.2625|0|0
chg2_p|90050|145700|145000|1|3.2|1|0.2625|0|0
chg1_cu|90000|145700|145000|1|5|3|0|0.000021|0.05
chg2_cu|90000|145700|145000|1|3|1.4|0|0.000021|0.05
chg3_cu|90000|145700|145000|1|2.2|1.4|0|0.000021|0.05
chg4_cu|90000|145700|145000|1|1.8|1.2|0|0.000021|0.05
chg5_cu|90000|145700|145000|1|2.1|1.1|0|0.000021|0.05
chg4_hc|90000|145700|145000|1|2.6|2.2|0|0.000084|0.05
chg5_hc|90000|145700|145000|1|1.8|1|0|0.000084|0.05
chg6_hc|90000|145700|145000|1|1.4|1|0|0.000084|0.05
chg5_rb|90000|145700|145000|1|1.1|1.1|0|0.000084|0.05
chg6_rb|90000|145700|145000|1|1.4|1|0|0.000084|0.05
chg4_AP|90000|145700|145000|1|1.8|1.6|1.07625|0|0.5
chg5_AP|90000|145700|145000|1|2|1|1.07625|0|0.5
chg1_CF|90000|145700|145000|1|4.6|4.2|0.903|0|0.5
chg2_CF|90000|145700|145000|1|3.2|1.2|0.903|0|0.5
chg3_CF|90000|145700|145000|1|3.2|1|0.903|0|0.5
chg4_CF|90000|145700|145000|1|2.8|1|0.903|0|0.5
chg2_MA|90000|145700|145000|1|3.2|2|0.42|0|0.5
chg1_RM|90000|145700|145000|1|3.8|2.2|0.07875|0|0.5
chg2_RM|90000|145700|145000|1|2.8|1.8|0.07875|0|0.5
chg3_RM|90000|145700|145000|1|2.6|1|0.07875|0|0.5
chg4_RM|90000|145700|145000|1|2.6|1|0.07875|0|0.5
chg2_SF|90000|145700|145000|1|5.4|1.6|1.26|0|0.5
chg3_SF|90000|145700|145000|1|2.8|1|1.26|0|0.5
chg4_SF|90000|145700|145000|1|3|1|1.26|0|0.5
chg5_SF|90000|145700|145000|1|1.5|1.3|1.26|0|0.5
chg3_SM|90000|145700|145000|1|4.6|1|0.945|0|0.5
chg5_SM|90000|145700|145000|1|1.7|1.2|0.945|0|0.5
chg2_SR|90000|145700|145000|1|5|1.4|0.1575|0|0.5
chg3_SR|90000|145700|145000|1|3.8|1.2|0.1575|0|0.5
chg3_ZC|90000|145700|145000|1|1.6|1.6|0.042|0|0.5
chg4_ZC|90000|145700|145000|1|1.6|1.4|0.042|0|0.5
chg6_ZC|90000|145700|145000|1|1.6|1.4|0.042|0|0.5
