so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
cpv5_j|90050|145700|145000|1|8|6.5|0|0.000189|0
cpv6_j|90050|145700|145000|1|9|5.5|0|0.000189|0
cpv7_j|90050|145700|145000|1|8.5|5|0|0.000189|0
cpv3_m|90050|145700|145000|1|9.5|5.5|0.1575|0|0
cpv7_m|90050|145700|145000|1|7|6|0.1575|0|0
cpv6_cu|90000|145700|145000|1|8|8|0|0.000021|0.05
cpv4_hc|90000|145700|145000|1|9.5|9|0|0.000084|0.05
cpv5_hc|90000|145700|145000|1|7|5.5|0|0.000084|0.05
cpv6_hc|90000|145700|145000|1|9.5|6|0|0.000084|0.05
cpv7_hc|90000|145700|145000|1|7.5|7|0|0.000084|0.05
cpv5_rb|90000|145700|145000|1|6.5|5|0|0.000084|0.05
cpv6_rb|90000|145700|145000|1|7|7|0|0.000084|0.05
cpv7_rb|90000|145700|145000|1|8|6.5|0|0.000084|0.05
cpv6_zn|90000|145700|145000|1|9.5|8|0.252|0|0
cpv0_CF|90000|145700|145000|1|8.5|6.5|1.5015|0|0.5
cpv3_CF|90000|145700|145000|1|8.5|7|1.5015|0|0.5
cpv4_CF|90000|145700|145000|1|8.5|6.5|1.5015|0|0.5
cpv5_CF|90000|145700|145000|1|7|7|1.5015|0|0.5
cpv7_CF|90000|145700|145000|1|6|6|1.5015|0|0.5
cpv7_OI|90000|145700|145000|1|9.5|5|0.105|0|0.5
cpv0_RM|90000|145700|145000|1|9|8|0.07875|0|0.5
cpv2_RM|90000|145700|145000|1|9.8|9.8|0.07875|0|0.5
cpv3_RM|90000|145700|145000|1|9.5|6|0.07875|0|0.5
cpv4_RM|90000|145700|145000|1|9.5|6.5|0.07875|0|0.5
cpv5_RM|90000|145700|145000|1|9|6|0.07875|0|0.5
cpv7_RM|90000|145700|145000|1|9|6.5|0.07875|0|0.5
cpv0_SF|90000|145700|145000|1|9.5|5.5|1.26|0|0.5
cpv6_SF|90000|145700|145000|1|8|6|1.26|0|0.5
cpv0_ZC|90000|145700|145000|1|9|7|0.042|0|0.5
cpv3_ZC|90000|145700|145000|1|9.5|5.5|0.042|0|0.5
cpv4_ZC|90000|145700|145000|1|9.5|5.5|0.042|0|0.5
cpv5_ZC|90000|145700|145000|1|7.5|5.5|0.042|0|0.5
cpv7_ZC|90000|145700|145000|1|6.5|5|0.042|0|0.5
