so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
hv7_cs|90050|145700|145000|0.0|3|2.8|0.15750|0.0000000|0.00
hv9_cs|90050|145700|145000|0.0|2.8|2.2|0.15750|0.0000000|0.00
hv3_j|90050|145700|145000|0.0|1.6|1.3|0.00000|0.0001890|0.00
hv5_j|90050|145700|145000|0.0|2.8|2.3|0.00000|0.0001890|0.00
hv3_jd|90050|145700|145000|0.0|1.7|1.2|0.00000|0.0001575|0.00
hv5_jd|90050|145700|145000|0.0|2.4|1.6|0.00000|0.0001575|0.00
hv7_p|90050|145700|145000|0.0|3.4|2|0.26250|0.0000000|0.00
hv8_p|90050|145700|145000|0.0|2|1.6|0.26250|0.0000000|0.00
hv9_p|90050|145700|145000|0.0|2.5|1.4|0.26250|0.0000000|0.00
hv3_pp|90050|145700|145000|0.0|2.1|1.2|0.00000|0.0000630|0.00
hv7_y|90050|145700|145000|0.0|3.2|2.8|0.26250|0.0000000|0.00
hv3_cu|90000|145700|145000|0.0|1.8|1.3|0.00000|0.0000210|0.05
hv3_hc|90000|145700|145000|0.0|1.5|1|0.00000|0.0000840|0.05
hv5_hc|90000|145700|145000|0.0|1.6|1.4|0.00000|0.0000840|0.05
hv8_hc|90000|145700|145000|0.0|4.2|3.6|0.00000|0.0000840|0.05
hv3_rb|90000|145700|145000|0.0|1.3|1|0.00000|0.0000840|0.05
hv5_rb|90000|145700|145000|0.0|1.9|1.4|0.00000|0.0000840|0.05
hv3_zn|90000|145700|145000|0.0|1.9|1.3|0.25200|0.0000000|0.00
hv3_AP|90000|145700|145000|0.0|2.2|1|1.07625|0.0000000|0.50
hv5_AP|90000|145700|145000|0.0|2.3|1.3|1.07625|0.0000000|0.50
hv7_CF|90000|145700|145000|0.0|4.4|2.4|0.90300|0.0000000|0.50
hv8_CF|90000|145700|145000|0.0|4.2|1.8|0.90300|0.0000000|0.50
hv9_CF|90000|145700|145000|0.0|4|1.8|0.90300|0.0000000|0.50
hv7_OI|90000|145700|145000|0.0|5.8|1|0.10500|0.0000000|0.50
hv8_OI|90000|145700|145000|0.0|6.0|1|0.10500|0.0000000|0.50
hv9_OI|90000|145700|145000|0.0|5.8|4.8|0.10500|0.0000000|0.50
hv7_RM|90000|145700|145000|0.0|3.4|1.6|0.07875|0.0000000|0.50
hv8_RM|90000|145700|145000|0.0|3.6|1.6|0.07875|0.0000000|0.50
hv9_RM|90000|145700|145000|0.0|2.8|1.4|0.07875|0.0000000|0.50
hv3_SF|90000|145700|145000|0.0|1.9|1.2|1.26000|0.0000000|0.50
hv5_SF|90000|145700|145000|0.0|2|1|1.26000|0.0000000|0.50
hv7_SF|90000|145700|145000|0.0|5.4|4.2|1.26000|0.0000000|0.50
hv8_SF|90000|145700|145000|0.0|4.4|3.4|1.26000|0.0000000|0.50
hv9_SF|90000|145700|145000|0.0|4.8|3.2|1.26000|0.0000000|0.50
hv3_SM|90000|145700|145000|0.0|1.6|1.2|0.94500|0.0000000|0.50
hv7_SR|90000|145700|145000|0.0|3.6|3|0.15750|0.0000000|0.50
hv9_SR|90000|145700|145000|0.0|3|2.4|0.15750|0.0000000|0.50
hv7_TA|90000|145700|145000|0.0|3.2|2.2|0.31500|0.0000000|0.50
hv8_TA|90000|145700|145000|0.0|2.6|2|0.31500|0.0000000|0.50
hv9_TA|90000|145700|145000|0.0|2.4|2|0.31500|0.0000000|0.50
hv7_ZC|90000|145700|145000|0.0|4.4|2.8|0.04200|0.0000000|0.50
hv8_ZC|90000|145700|145000|0.0|3.4|1.8|0.04200|0.0000000|0.50
hv9_ZC|90000|145700|145000|0.0|3.2|2|0.04200|0.0000000|0.50
