so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
ipv7_a|90050|145700|145000|1|9|8.5|0.21|0|0
ipv6_j|90050|145700|145000|1|7.5|5.5|0|0.000189|0
ipv7_j|90050|145700|145000|1|8|8|0|0.000189|0
ipv9_j|90050|145700|145000|1|8.5|6|0|0.000189|0
ipv7_jd|90050|145700|145000|1|9|9|0|0.0001575|0
ipv7_cu|90000|145700|145000|1|9|6|0|0.000021|0.05
ipv5_hc|90000|145700|145000|1|7|7|0|0.000084|0.05
ipv9_hc|90000|145700|145000|1|6|6|0|0.000084|0.05
ipv5_rb|90000|145700|145000|1|7.5|7|0|0.000084|0.05
ipv6_rb|90000|145700|145000|1|7.5|7.5|0|0.000084|0.05
ipv7_rb|90000|145700|145000|1|8.5|7.5|0|0.000084|0.05
ipv9_rb|90000|145700|145000|1|8|6.5|0|0.000084|0.05
ipv9_zn|90000|145700|145000|1|9.5|5.5|0.252|0|0
ipv0_CF|90000|145700|145000|1|8.5|6.5|0.903|0|0.5
ipv2_CF|90000|145700|145000|1|9.5|6|0.903|0|0.5
ipv3_CF|90000|145700|145000|1|9.5|5|0.903|0|0.5
ipv0_RM|90000|145700|145000|1|9|7.5|0.07875|0|0.5
ipv2_RM|90000|145700|145000|1|9.5|9.5|0.07875|0|0.5
ipv3_RM|90000|145700|145000|1|9.5|6|0.07875|0|0.5
ipv4_RM|90000|145700|145000|1|9.5|5|0.07875|0|0.5
ipv5_RM|90000|145700|145000|1|9|5|0.07875|0|0.5
ipv0_SF|90000|145700|145000|1|9.5|5|1.26|0|0.5
ipv6_SF|90000|145700|145000|1|6|6|1.26|0|0.5
ipv7_SF|90000|145700|145000|1|7.5|5.5|1.26|0|0.5
ipv8_SF|90000|145700|145000|1|7.5|5|1.26|0|0.5
ipv9_SF|90000|145700|145000|1|6|6|1.26|0|0.5
ipv6_SM|90000|145700|145000|1|8.5|5.5|0.945|0|0.5
ipv7_SM|90000|145700|145000|1|8|5|0.945|0|0.5
ipv9_SM|90000|145700|145000|1|8|5.5|0.945|0|0.5
ipv0_SR|90000|145700|145000|1|9.5|5|0.1575|0|0.5
ipv3_SR|90000|145700|145000|1|9.5|6.5|0.1575|0|0.5
ipv0_ZC|90000|145700|145000|1|8.5|7.5|0.042|0|0.5
ipv3_ZC|90000|145700|145000|1|7.5|7.5|0.042|0|0.5
ipv4_ZC|90000|145700|145000|1|7.5|5.5|0.042|0|0.5
ipv5_ZC|90000|145700|145000|1|8|5.5|0.042|0|0.5
