so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
tst0_cs|90050|145700|145000|4|5|1.6|0.1575|0|0
tst1_cs|90050|145700|145000|4|3.2|1.4|0.1575|0|0
tst2_cs|90050|145700|145000|4|3.4|1.2|0.1575|0|0
tst6_cs|90050|145700|145000|2|3.4|2.4|0.1575|0|0
tst9_cs|90050|145700|145000|2|2.4|1.4|0.1575|0|0
tst3_j|90050|145700|145000|2|1.5|1.2|0|0.000189|0
tst5_j|90050|145700|145000|4|2.9|1|0|0.000189|0
tst3_jd|90050|145700|145000|2|1.6|1.1|0|0.0001575|0
tst5_jd|90050|145700|145000|0|2.2|1.3|0|0.0001575|0
tst0_m|90050|145700|145000|6|4.6|3.8|0.1575|0|0
tst1_p|90050|145700|145000|6|3.2|1.6|0.2625|0|0
tst2_p|90050|145700|145000|6|3|1.6|0.2625|0|0
tst6_p|90050|145700|145000|2|3.2|1.6|0.2625|0|0
tst7_p|90050|145700|145000|2|3.2|1.2|0.2625|0|0
tst0_au|90000|145700|145000|0|3.6|2.8|0.0042|0|0.05
tst3_cu|90000|145700|145000|2|1.6|1.1|0|0.000021|0.05
tst5_cu|90000|145700|145000|4|2.6|1.7|0|0.000021|0.05
tst2_hc|90000|145700|145000|2|4.8|1.2|0|0.000084|0.05
tst3_hc|90000|145700|145000|2|1.7|1|0|0.000084|0.05
tst5_hc|90000|145700|145000|4|1.7|1.1|0|0.000084|0.05
tst3_rb|90000|145700|145000|2|1.1|1.1|0|0.000084|0.05
tst5_rb|90000|145700|145000|4|1.3|1.2|0|0.000084|0.05
tst0_CF|90000|145700|145000|4|5.6|4.6|0.903|0|0.5
tst1_CF|90000|145700|145000|4|5.2|2.8|0.903|0|0.5
tst2_CF|90000|145700|145000|4|5.6|2.6|0.903|0|0.5
tst6_CF|90000|145700|145000|2|4|3.6|0.903|0|0.5
tst7_CF|90000|145700|145000|2|4|1.2|0.903|0|0.5
tst8_CF|90000|145700|145000|2|4.6|1.2|0.903|0|0.5
tst9_CF|90000|145700|145000|2|3.2|1|0.903|0|0.5
tst2_OI|90000|145700|145000|0|5.6|1.8|0.105|0|0.5
tst0_RM|90000|145700|145000|6|5.4|2.4|0.07875|0|0.5
tst1_RM|90000|145700|145000|6|4.4|3|0.07875|0|0.5
tst2_RM|90000|145700|145000|6|4.2|2.4|0.07875|0|0.5
tst6_RM|90000|145700|145000|2|3.4|1|0.07875|0|0.5
tst7_RM|90000|145700|145000|2|3.6|1|0.07875|0|0.5
tst8_RM|90000|145700|145000|2|3.8|1.4|0.07875|0|0.5
tst9_RM|90000|145700|145000|2|3.4|2.6|0.07875|0|0.5
tst3_SF|90000|145700|145000|1|1.6|1|1.26|0|0.5
tst5_SF|90000|145700|145000|1|1.6|1|1.26|0|0.5
tst6_SF|90000|145700|145000|2|6.4|1.4|1.26|0|0.5
tst7_SF|90000|145700|145000|2|5|1|1.26|0|0.5
tst9_SF|90000|145700|145000|2|3.6|1.2|1.26|0|0.5
tst1_SR|90000|145700|145000|4|6|1.2|0.1575|0|0.5
tst6_SR|90000|145700|145000|2|6|1|0.1575|0|0.5
tst7_SR|90000|145700|145000|2|4.2|1.6|0.1575|0|0.5
tst2_ZC|90000|145700|145000|4|3.6|1.8|0.042|0|0.5
tst7_ZC|90000|145700|145000|2|4.6|1|0.042|0|0.5
tst8_ZC|90000|145700|145000|2|3.2|1|0.042|0|0.5
tst9_ZC|90000|145700|145000|2|3.2|3.2|0.042|0|0.5
