so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
xpv1_p|90050|145700|145000|2|8.8|4.4|0.2625|0|0
xpv3_p|90050|145700|145000|2|9|6.8|0.2625|0|0
xpv3_ag|90000|145700|145000|2|9.4|5.6|0|0.000042|0.05
xpv3_au|90000|145700|145000|2|9|5.4|0.0042|0|0.05
xpv7_hc|90000|145700|145000|2|9.6|5.4|0|0.000084|0.05
xpv1_rb|90000|145700|145000|2|9.2|4|0|0.000084|0.05
xpv1_CF|90000|145700|145000|2|7.4|6.8|1.5015|0|0.5
xpv3_CF|90000|145700|145000|2|8.8|7.4|1.5015|0|0.5
xpv4_CF|90000|145700|145000|2|8.4|5.6|1.5015|0|0.5
xpv5_CF|90000|145700|145000|2|8.4|5.8|1.5015|0|0.5
xpv2_OI|90000|145700|145000|2|8.6|8.2|0.105|0|0.5
xpv1_RM|90000|145700|145000|2|7.6|7.6|0.07875|0|0.5
xpv3_SF|90000|145700|145000|2|9|8.2|1.26|0|0.5
xpv4_SF|90000|145700|145000|2|7.6|7.2|1.26|0|0.5
xpv5_SF|90000|145700|145000|2|8|8|1.26|0|0.5
xpv7_SF|90000|145700|145000|2|7.4|4|1.26|0|0.5
xpv1_TA|90000|145700|145000|2|8.8|5.4|0.315|0|0.5
xpv3_TA|90000|145700|145000|2|8.8|6.6|0.315|0|0.5
