comm_no,strategy,contract,lot
ap,hv3_zzap_day,AP810,1
ap,hv5_zzap_day,AP810,1
cf,hv7_zzcf_day,CF901,2
cf,hv8_zzcf_day,CF901,2
cf,hv9_zzcf_day,CF901,2
cf,tst0_zzcf_day,CF901,1
cf,tst1_zzcf_day,CF901,2
cf,tst2_zzcf_day,CF901,3
cf,tst6_zzcf_day,CF901,1
cf,tst7_zzcf_day,CF901,1
cf,tst8_zzcf_day,CF901,1
cf,tst9_zzcf_day,CF901,8
cf,xpv1_zzcf_day,CF901,1
cf,xpv3_zzcf_day,CF901,1
cf,xpv4_zzcf_day,CF901,1
oi,hv7_zzoi_day,OI809,1
oi,hv8_zzoi_day,OI809,2
oi,hv9_zzoi_day,OI809,1
oi,tst2_zzoi_day,OI809,1
rm,hv7_zzrm_day,RM809,1
rm,hv8_zzrm_day,RM809,1
rm,hv9_zzrm_day,RM809,1
rm,tst0_zzrm_day,RM809,1
rm,tst1_zzrm_day,RM809,1
rm,tst2_zzrm_day,RM809,5
rm,tst6_zzrm_day,RM809,1
rm,tst7_zzrm_day,RM809,2
rm,tst8_zzrm_day,RM809,1
rm,tst9_zzrm_day,RM809,12
rm,xpv1_zzrm_day,RM809,1
sf,hv3_zzsf_day,SF809,1
sf,hv5_zzsf_day,SF809,1
sf,hv7_zzsf_day,SF809,1
sf,hv8_zzsf_day,SF809,1
sf,hv9_zzsf_day,SF809,2
sf,tst3_zzsf_day,SF809,1
sf,tst5_zzsf_day,SF809,1
sf,tst6_zzsf_day,SF809,1
sf,tst7_zzsf_day,SF809,1
sf,tst9_zzsf_day,SF809,1
sf,xpv4_zzsf_day,SF809,1
sf,xpv5_zzsf_day,SF809,1
sf,xpv7_zzsf_day,SF809,1
sm,hv3_zzsm_day,SM809,1
sr,hv7_zzsr_day,SR809,1
sr,hv9_zzsr_day,SR809,1
sr,tst1_zzsr_day,SR809,1
sr,tst6_zzsr_day,SR809,1
sr,tst7_zzsr_day,SR809,1
ta,hv7_zzta_day,TA809,1
ta,hv8_zzta_day,TA809,1
ta,hv9_zzta_day,TA809,1
ta,xpv1_zzta_day,TA809,13
ta,xpv3_zzta_day,TA809,8
zc,hv7_zzzc_day,ZC809,1
zc,hv8_zzzc_day,ZC809,2
zc,hv9_zzzc_day,ZC809,2
zc,tst2_zzzc_day,ZC809,1
zc,tst7_zzzc_day,ZC809,1
zc,tst8_zzzc_day,ZC809,3
zc,tst9_zzzc_day,ZC809,1
zc,xpv1_zzzc_day,ZC809,2
ap,chg4_zzap_day,AP810,1
ap,chg5_zzap_day,AP810,1
ap,mpv9_zzap_day,AP810,1
cf,chg1_zzcf_day,CF901,1
cf,chg2_zzcf_day,CF901,1
cf,chg3_zzcf_day,CF901,5
cf,chg4_zzcf_day,CF901,1
cf,ipv0_zzcf_day,CF901,1
cf,ipv2_zzcf_day,CF901,2
cf,ipv3_zzcf_day,CF901,1
cf,mpv0_zzcf_day,CF901,1
cf,mpv2_zzcf_day,CF901,1
cf,mpv3_zzcf_day,CF901,13
cf,mpv4_zzcf_day,CF901,1
ma,chg2_zzma_day,MA809,1
rm,chg1_zzrm_day,RM809,1
rm,chg2_zzrm_day,RM809,7
rm,chg3_zzrm_day,RM809,1
rm,chg4_zzrm_day,RM809,1
rm,ipv0_zzrm_day,RM809,1
rm,ipv2_zzrm_day,RM809,7
rm,ipv3_zzrm_day,RM809,7
rm,ipv4_zzrm_day,RM809,1
rm,ipv5_zzrm_day,RM809,1
rm,mpv0_zzrm_day,RM809,1
rm,mpv2_zzrm_day,RM809,1
rm,mpv3_zzrm_day,RM809,1
rm,mpv4_zzrm_day,RM809,3
rm,mpv5_zzrm_day,RM809,1
sf,chg2_zzsf_day,SF809,1
sf,chg3_zzsf_day,SF809,2
sf,chg4_zzsf_day,SF809,1
sf,chg5_zzsf_day,SF809,1
sf,ipv0_zzsf_day,SF809,1
sf,ipv6_zzsf_day,SF809,1
sf,ipv7_zzsf_day,SF809,1
sf,ipv8_zzsf_day,SF809,1
sf,ipv9_zzsf_day,SF809,1
sf,mpv0_zzsf_day,SF809,1
sf,mpv2_zzsf_day,SF809,1
sf,mpv3_zzsf_day,SF809,1
sf,mpv6_zzsf_day,SF809,1
sf,mpv7_zzsf_day,SF809,1
sf,mpv8_zzsf_day,SF809,1
sf,mpv9_zzsf_day,SF809,1
sm,chg3_zzsm_day,SM809,1
sm,chg5_zzsm_day,SM809,1
sm,ipv6_zzsm_day,SM809,1
sm,ipv7_zzsm_day,SM809,1
sm,ipv9_zzsm_day,SM809,1
sm,mpv6_zzsm_day,SM809,1
sm,mpv7_zzsm_day,SM809,1
sm,mpv9_zzsm_day,SM809,1
sr,chg2_zzsr_day,SR809,1
sr,chg3_zzsr_day,SR809,1
sr,ipv0_zzsr_day,SR809,1
sr,ipv3_zzsr_day,SR809,1
sr,mpv3_zzsr_day,SR809,1
zc,chg3_zzzc_day,ZC809,3
zc,chg4_zzzc_day,ZC809,2
zc,chg6_zzzc_day,ZC809,1
zc,ipv0_zzzc_day,ZC809,1
zc,ipv3_zzzc_day,ZC809,1
zc,ipv4_zzzc_day,ZC809,3
zc,ipv5_zzzc_day,ZC809,3
zc,mpv0_zzzc_day,ZC809,2
zc,mpv3_zzzc_day,ZC809,1
zc,mpv4_zzzc_day,ZC809,3
zc,mpv5_zzzc_day,ZC809,4
