so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
chg1_ag|210000|262700|262000|1|4.8|1.4|0|0.000042|0.05
chg1_bu|210000|225700|225000|1|2.8|1.4|0|0.000084|0.05
chg2_bu|210000|225700|225000|1|1.8|1.6|0|0.000084|0.05
chg2_hc|210000|225700|225000|1|3.8|1|0|0.000084|0.05
chg3_hc|210000|225700|225000|1|2.6|1|0|0.000084|0.05
chg2_ni|210000|245700|245000|1|4.6|2.6|5.04|0|0.05
chg1_rb|210000|225700|225000|1|4|4|0|0.000084|0.05
chg3_rb|210000|225700|225000|1|1.4|1.2|0|0.000084|0.05
chg4_rb|210000|225700|225000|1|1.2|1.2|0|0.000084|0.05
chg2_ru|210000|225700|225000|1|2.2|2.2|0|0.0000378|0.05
chg3_ru|210000|225700|225000|1|1.6|1.4|0|0.0000378|0.05
chg1_CF|210000|232700|232000|1|4.2|2.2|1.5015|0|0.5
chg2_CF|210000|232700|232000|1|4.4|1.8|1.5015|0|0.5
chg2_MA|210000|232700|232000|1|3|1.2|0.42|0|0.5
chg1_RM|210000|232700|232000|1|3|2|0.07875|0|0.5
chg1_ZC|210000|232700|232000|1|3.6|3.6|0.042|0|0.5
chg2_ZC|210000|232700|232000|1|2.4|1.4|0.042|0|0.5
chg3_ZC|210000|232700|232000|1|2.2|1|0.042|0|0.5
