so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
hv8_y|210050|232700|232000|0.0|2.2|1.8|0.26250|0.0000000|0.00
hv9_y|210050|232700|232000|0.0|2|1.8|0.26250|0.0000000|0.00
hv7_ag|210000|262700|262000|0.0|2.8|1.8|0.00000|0.0000420|0.05
hv8_ag|210000|262700|262000|0.0|2.4|1.6|0.00000|0.0000420|0.05
hv8_au|210000|262700|262000|0.0|3|1|0.00420|0.0000000|0.05
hv7_bu|210000|225700|225000|0.0|1.8|1.6|0.00000|0.0000840|0.05
hv3_hc|210000|225700|225000|0.0|1.1|1|0.00000|0.0000840|0.05
hv7_hc|210000|225700|225000|0.0|3.6|1|0.00000|0.0000840|0.05
hv8_hc|210000|225700|225000|0.0|2.8|2.2|0.00000|0.0000840|0.05
hv5_ni|210000|245700|245000|0.0|2.1|1.7|5.04000|0.0000000|0.05
hv8_ni|210000|245700|245000|0.0|2.8|2.6|5.04000|0.0000000|0.05
hv8_pb|210000|245700|245000|0.0|3.8|2|0.00000|0.0000168|0.05
hv3_ru|210000|225700|225000|0.0|1.3|1|0.00000|0.0000378|0.05
hv5_ru|210000|225700|225000|0.0|1.5|1.3|0.00000|0.0000378|0.05
hv7_CF|210000|232700|232000|0.0|3|2.2|0.90300|0.0000000|0.50
hv8_CF|210000|232700|232000|0.0|2.4|1.8|0.90300|0.0000000|0.50
hv9_CF|210000|232700|232000|0.0|2.6|1.8|0.90300|0.0000000|0.50
hv7_MA|210000|232700|232000|0.0|3.6|3.2|0.42000|0.0000000|0.50
hv8_MA|210000|232700|232000|0.0|3.2|2.6|0.42000|0.0000000|0.50
hv9_MA|210000|232700|232000|0.0|2.8|2|0.42000|0.0000000|0.50
hv7_OI|210000|232700|232000|0.0|5.6|5|0.10500|0.0000000|0.50
hv9_OI|210000|232700|232000|0.0|5.8|1|0.10500|0.0000000|0.50
hv8_RM|210000|232700|232000|0.0|2.6|2|0.07875|0.0000000|0.50
hv9_RM|210000|232700|232000|0.0|2.6|1.6|0.07875|0.0000000|0.50
hv7_SR|210000|232700|232000|0.0|3.2|2.8|0.15750|0.0000000|0.50
hv9_SR|210000|232700|232000|0.0|3.2|2.4|0.15750|0.0000000|0.50
hv3_TA|210000|232700|232000|0.0|1.6|1|0.31500|0.0000000|0.50
hv7_TA|210000|232700|232000|0.0|3|2|0.31500|0.0000000|0.50
hv8_TA|210000|232700|232000|0.0|2.6|1.8|0.31500|0.0000000|0.50
hv9_TA|210000|232700|232000|0.0|2.4|1.6|0.31500|0.0000000|0.50
hv7_ZC|210000|232700|232000|0.0|3.2|1.6|0.04200|0.0000000|0.50
hv8_ZC|210000|232700|232000|0.0|3.4|1.6|0.04200|0.0000000|0.50
hv9_ZC|210000|232700|232000|0.0|3|1.4|0.04200|0.0000000|0.50
