so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
ipv0_au|210000|262700|262000|1|9.5|5|0.0042|0|0.05
ipv2_bu|210000|225700|225000|1|9.5|7|0|0.000084|0.05
ipv0_hc|210000|225700|225000|1|9|5.5|0|0.000084|0.05
ipv2_hc|210000|225700|225000|1|9.5|6|0|0.000084|0.05
ipv3_hc|210000|225700|225000|1|9.5|5|0|0.000084|0.05
ipv0_rb|210000|225700|225000|1|8|7.5|0|0.000084|0.05
ipv3_rb|210000|225700|225000|1|7.5|6|0|0.000084|0.05
ipv4_rb|210000|225700|225000|1|7|7|0|0.000084|0.05
ipv2_ru|210000|225700|225000|1|8.5|8.5|0|0.0000378|0.05
ipv0_CF|210000|232700|232000|1|9|5|1.5015|0|0.5
ipv1_CF|210000|232700|232000|1|9.8|9.8|1.5015|0|0.5
ipv0_ZC|210000|232700|232000|1|9|5.5|0.042|0|0.5
ipv2_ZC|210000|232700|232000|1|9.5|7|0.042|0|0.5
ipv3_ZC|210000|232700|232000|1|8|6.5|0.042|0|0.5
