so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
tst2_ag|210000|262700|262000|2|3.6|1.4|0|0.000042|0.05
tst9_ag|210000|262700|262000|2|2.7|1.2|0|0.000042|0.05
tst5_au|210000|262700|262000|2|2.6|1.1|0.0042|0|0.05
tst1_hc|210000|225700|225000|0|4.6|1.4|0|0.000084|0.05
tst2_hc|210000|225700|225000|0|4.4|1.4|0|0.000084|0.05
tst6_hc|210000|225700|225000|2|4.2|1|0|0.000084|0.05
tst3_ni|210000|245700|245000|2|1.9|1.1|5.04|0|0.05
tst5_ni|210000|245700|245000|2|2.7|1|5.04|0|0.05
tst3_sc|210000|262700|262000|2|1.7|1.3|0.0084|0|0.05
tst5_sc|210000|262700|262000|0|1.6|1|0.0084|0|0.05
tst6_sc|210000|262700|262000|2|5|1.6|0.0084|0|0.05
tst0_CF|210000|232700|232000|0|6|2.8|1.5015|0|0.5
tst1_CF|210000|232700|232000|0|4.4|1.4|1.5015|0|0.5
tst0_FG|210000|232700|232000|2|3|2.6|0.23625|0|0.5
tst0_RM|210000|232700|232000|6|4.2|2.8|0.07875|0|0.5
tst1_RM|210000|232700|232000|4|2.6|2.4|0.07875|0|0.5
tst2_RM|210000|232700|232000|6|4|3|0.07875|0|0.5
tst7_RM|210000|232700|232000|2|2.4|1.4|0.07875|0|0.5
tst1_SR|210000|232700|232000|4|4.2|1.8|0.1575|0|0.5
tst2_SR|210000|232700|232000|4|4.2|4.2|0.1575|0|0.5
tst1_TA|210000|232700|232000|4|4.8|1|0.315|0|0.5
tst2_TA|210000|232700|232000|6|3.6|2|0.315|0|0.5
tst7_TA|210000|232700|232000|2|2.6|1.2|0.315|0|0.5
tst1_ZC|210000|232700|232000|2|3.4|1.8|0.042|0|0.5
tst2_ZC|210000|232700|232000|4|5|1.6|0.042|0|0.5
tst6_ZC|210000|232700|232000|2|3.2|1.4|0.042|0|0.5
tst7_ZC|210000|232700|232000|2|3.4|1|0.042|0|0.5
tst9_ZC|210000|232700|232000|2|3.2|1|0.042|0|0.5
