so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
xpv1_au|210000|262700|262000|2|9|5.6|0.0042|0|0.05
xpv4_ni|210000|245700|245000|2|7.4|7.4|5.04|0|0.05
xpv5_ni|210000|245700|245000|2|8.2|7.8|5.04|0|0.05
xpv7_ni|210000|245700|245000|2|9.2|7.4|5.04|0|0.05
xpv1_rb|210000|225700|225000|2|7.4|7.4|0|0.000084|0.05
xpv3_rb|210000|225700|225000|2|9|5.8|0|0.000084|0.05
xpv3_sc|210000|262700|262000|2|9.2|7|0.0084|0|0.05
xpv7_sc|210000|262700|262000|2|8.4|6.8|0.0084|0|0.05
xpv2_CF|210000|232700|232000|2|8.4|6.8|1.5015|0|0.5
xpv5_CF|210000|232700|232000|2|8.4|7.2|1.5015|0|0.5
