comm,strategy,contract,lot
fg,chg1_zzfg_night,FG809,2
rm,chg1_zzrm_night,RM809,4
zc,chg2_zzzc_night,ZC809,4
zc,chg3_zzzc_night,ZC809,1
cf,tst0_zzcf_night,CF901,8
cf,xpv2_zzcf_night,CF901,1
cf,xpv5_zzcf_night,CF901,8
rm,hv7_zzrm_night,RM809,1
rm,tst0_zzrm_night,RM809,6
sr,hv9_zzsr_night,SR809,1
sr,tst1_zzsr_night,SR809,2
sr,tst2_zzsr_night,SR809,2
ta,tst1_zzta_night,TA809,9
ta,tst2_zzta_night,TA809,2
ta,tst7_zzta_night,TA809,1
zc,hv7_zzzc_night,ZC809,1
zc,hv8_zzzc_night,ZC809,1
zc,hv9_zzzc_night,ZC809,1
zc,tst1_zzzc_night,ZC809,1
zc,tst2_zzzc_night,ZC809,1
zc,tst7_zzzc_night,ZC809,1
zc,tst9_zzzc_night,ZC809,1
cf,cpv0_zzcf_night,CF901,1
