so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
tstv_CF|90000|145500|145000|1.0|3.6|2.4|1.26|0|0.5
tstv_MA|90000|145500|145000|1.0|5.2|4.6|0.42|0|0.5
tstv_RM|90000|145500|145000|1.0|4.2|2.2|0.2625|0|0.5
tstv_SR|90000|145500|145000|1.0|3.8|2.2|0.165|0|0.5
tstv_ZC|90000|145500|145000|1.0|5.2|3.8|0.11025|0|0.5
tstv_a|90050|145500|145000|1.0|5.0|1.0|0.21|0|0.4
tstv_c|90050|145500|145000|1.0|2.0|2.0|0.066|0|0.4
tstv_cs|90050|145500|145000|1.0|4.0|2.4|0.1575|0|0.4
tstv_jd|90050|145500|145000|1.0|4.6|3.6|0.1575|0|0.4
tstv_l|90050|145500|145000|1.0|3.2|2.2|0.42|0|0.4
tstv_m|90050|145500|145000|1.0|3.8|2.2|0.1575|0|0.4
tstv_p|90050|145500|145000|1.0|2.4|1.8|0.2625|0|0.4
tstv_y|90000|145500|145000|1.0|3.0|3.0|0.2625|0|0.4
