id,strategy,contract,lot
al,xpv1_shal_day,al1708,1
au,xpv1_shau_day,au1712,1
bu,xpv1_shbu_day,bu1709,1
ni,xpv1_shni_day,ni1709,1
rb,xpv1_shrb_day,rb1710,1
ag,xpv3_shag_day,ag1712,1
au,xpv3_shau_day,au1712,1
bu,xpv3_shbu_day,bu1709,1
rb,xpv3_shrb_day,rb1710,1
au,xpv5_shau_day,au1712,1
bu,xpv5_shbu_day,bu1709,1
rb,xpv5_shrb_day,rb1710,1
ag,xpv6_shag_day,ag1712,1
au,xpv6_shau_day,au1712,1
al,xpv7_shal_day,al1708,1
ni,xpv7_shni_day,ni1709,1
pb,xpv7_shpb_day,pb1707,1
ru,xpv7_shru_day,ru1709,1
10000001,tst_shag_day,ag1712,3
10000002,tst2_shag_day,ag1712,2
10000003,tst_shal_day,al1708,1
10000004,tst1_shal_day,al1708,1
10000005,tst2_shal_day,al1708,1
10000006,tst_shau_day,au1712,2
10000007,tst1_shau_day,au1712,2
10000008,tst2_shau_day,au1712,2
10000009,tst2_shbu_day,bu1709,2
10000010,tst5_shbu_day,bu1709,1
10000011,tst_shcu_day,cu1708,1
10000012,tst0_shcu_day,cu1708,1
10000013,tst1_shcu_day,cu1708,1
10000014,tst2_shcu_day,cu1708,1
10000015,tst4_shcu_day,cu1708,1
10000016,tst5_shcu_day,cu1708,1
10000017,tst4_shhc_day,hc1710,8
10000018,tst5_shhc_day,hc1710,8
10000019,tst4_shni_day,ni1709,1
10000020,tst4_shpb_day,pb1707,1
10000021,tst0_shrb_day,rb1710,10
10000022,tst1_shrb_day,rb1710,6
10000023,tst5_shrb_day,rb1710,5
10000024,tst2_shrb_day,rb1710,1
10000025,tst2_shru_day,ru1709,2
10000026,tst3_shzn_day,zn1708,1
