id,strategy,contract,lot
au,hv0_shau_day,au1712,1
au,hv1_shau_day,au1712,1
au,hv2_shau_day,au1712,1
au,hv5_shau_day,au1712,1
au,hv6_shau_day,au1712,1
au,hv9_shau_day,au1712,1
bu,hv4_shbu_day,bu1709,1
hc,hv2_shhc_day,hc1710,1
hc,hv4_shhc_day,hc1710,1
hc,hv5_shhc_day,hc1710,1
hc,hv8_shhc_day,hc1710,1
rb,hv1_shrb_day,rb1710,1
rb,hv2_shrb_day,rb1710,1
rb,hv4_shrb_day,rb1710,1
rb,hv5_shrb_day,rb1710,1
rb,hv7_shrb_day,rb1710,1
rb,hv8_shrb_day,rb1710,1
ru,hv2_shru_day,ru1709,1
ru,hv7_shru_day,ru1709,1
