so_name|trade_start_time|trade_close_time|open_end_time|para1|para2|para3|fee_by_vol|fee_by_amt|fill_ratio
hv1_i|210050|232500|232000|1|2.6|1.4|0|0.000315|0
hv3_i|210050|232500|232000|1|1.4|1.2|0|0.000315|0
hv5_i|210050|232500|232000|1|1.7|1.1|0|0.000315|0
hv3_j|210050|232500|232000|1|1.6|1.6|0|0.000756|0
hv5_j|210050|232500|232000|1|2.2|1.9|0|0.000756|0
hv3_jm|210050|232500|232000|1|1.8|1.4|0|0.000756|0
hv5_jm|210050|232500|232000|1|1.9|1.8|0|0.000756|0
hv1_m|210050|232500|232000|1|3.4|1.2|0.1575|0|0
hv2_m|210050|232500|232000|1|3.4|1.4|0.1575|0|0
hv1_p|210050|232500|232000|1|4.2|1.6|0.2625|0|0
hv3_p|210050|232500|232000|1|2|2|0.2625|0|0
hv1_y|210050|232500|232000|1|3|2|0.2625|0|0
hv2_y|210050|232500|232000|1|3.2|2.2|0.2625|0|0
hv3_y|210050|232500|232000|1|1.8|1.4|0.2625|0|0
hv5_y|210050|232500|232000|1|1.8|1.7|0.2625|0|0
hv9_y|210050|232500|232000|1|2.6|1.3|0.2625|0|0
hv1_ag|210000|262500|262000|1|3.4|3.2|0|0.0000525|0.05
hv2_ag|210000|262500|262000|1|3.4|1.6|0|0.0000525|0.05
hv3_ag|210000|262500|262000|1|2.3|1.3|0|0.0000525|0.05
hv5_ag|210000|262500|262000|1|2.8|1.4|0|0.0000525|0.05
hv6_ag|210000|262500|262000|1|2.8|1.2|0|0.0000525|0.05
hv7_ag|210000|262500|262000|1|3.6|1|0|0.0000525|0.05
hv8_ag|210000|262500|262000|1|2.8|1|0|0.0000525|0.05
hv9_ag|210000|262500|262000|1|2.7|1.2|0|0.0000525|0.05
hv1_al|210000|245500|225000|1|4.6|1.8|0.33|0|0.05
hv1_au|210000|262500|262000|1|3.8|2.4|0.0055|0|0.05
hv2_au|210000|262500|262000|1|5|2|0.0055|0|0.05
hv3_au|210000|262500|262000|1|3|1|0.0055|0|0.05
hv5_au|210000|262500|262000|1|2.7|1.2|0.0055|0|0.05
hv6_au|210000|262500|262000|1|4|1|0.0055|0|0.05
hv7_au|210000|262500|262000|1|3.4|1|0.0055|0|0.05
hv8_au|210000|262500|262000|1|2.6|1.2|0.0055|0|0.05
hv9_au|210000|262500|262000|1|2.8|1|0.0055|0|0.05
hv1_bu|210000|225500|225000|1|2|2|0|0.0001575|0.05
hv3_bu|210000|225500|225000|1|1.7|1.4|0|0.0001575|0.05
hv1_cu|210000|245500|245000|1|4.6|1|0|0.00002625|0.05
hv2_cu|210000|245500|245000|1|4.6|1.2|0|0.00002625|0.05
hv5_cu|210000|245500|245000|1|2.8|1.3|0|0.00002625|0.05
hv7_cu|210000|245500|245000|1|4.8|1|0|0.00002625|0.05
hv8_cu|210000|245500|245000|1|3.2|1.2|0|0.00002625|0.05
hv1_hc|210000|225500|225000|1|3|2.4|0|0.000105|0.05
hv2_hc|210000|225500|225000|1|2.4|2.4|0|0.000105|0.05
hv3_hc|210000|225500|225000|1|1.2|1|0|0.000105|0.05
hv5_hc|210000|225500|225000|1|1.5|1.1|0|0.000105|0.05
hv6_hc|210000|225500|225000|1|5|1.2|0|0.000105|0.05
hv7_hc|210000|225500|225000|1|2.2|1|0|0.000105|0.05
hv8_hc|210000|225500|225000|1|2.6|1.2|0|0.000105|0.05
hv9_hc|210000|225500|225000|1|2.2|1.1|0|0.000105|0.05
hv1_rb|210000|225500|225000|1|4.6|1|0|0.000105|0.05
hv2_rb|210000|225500|225000|1|3.6|1|0|0.000105|0.05
hv3_rb|210000|225500|225000|1|1.5|1|0|0.000105|0.05
hv5_rb|210000|225500|225000|1|1.8|1.1|0|0.000105|0.05
hv6_rb|210000|225500|225000|1|3|1.2|0|0.000105|0.05
hv7_rb|210000|225500|225000|1|2.8|1.2|0|0.000105|0.05
hv8_rb|210000|225500|225000|1|1.8|1.2|0|0.000105|0.05
hv9_rb|210000|225500|225000|1|2.6|1.1|0|0.000105|0.05
hv1_ru|210000|225500|225000|1|4.6|1|0|0.000189|0.05
hv2_ru|210000|225500|225000|1|3.6|1.2|0|0.000189|0.05
hv5_ru|210000|225500|225000|1|1.8|1.1|0|0.000189|0.05
hv6_ru|210000|225500|225000|1|4.2|1.2|0|0.000189|0.05
hv8_ru|210000|225500|225000|1|2.2|1.2|0|0.000189|0.05
hv1_zn|210000|245500|245000|1|5|2.8|0.315|0|0
hv2_zn|210000|245500|245000|1|2.8|1.6|0.315|0|0
hv6_zn|210000|245500|245000|1|5|1.2|0.315|0|0
hv7_zn|210000|245500|245000|1|4.4|1|0.315|0|0
hv1_CF|210000|232500|232000|1|5.2|1|1.26|0|0.5
hv2_CF|210000|232500|232000|1|4.8|1.8|1.26|0|0.5
hv6_CF|210000|232500|232000|1|3|2.4|1.26|0|0.5
hv7_CF|210000|232500|232000|1|2.8|2.2|1.26|0|0.5
hv8_CF|210000|232500|232000|1|5.2|1.2|1.26|0|0.5
hv9_CF|210000|232500|232000|1|3.2|1.2|1.26|0|0.5
hv1_MA|210000|232500|232000|1|4.6|1|0.42|0|0.5
hv2_MA|210000|232500|232000|1|4.2|1.4|0.42|0|0.5
hv6_MA|210000|232500|232000|1|4.4|1|0.42|0|0.5
hv7_MA|210000|232500|232000|1|2.8|1|0.42|0|0.5
hv8_MA|210000|232500|232000|1|3|1|0.42|0|0.5
hv9_MA|210000|232500|232000|1|3.4|1.2|0.42|0|0.5
hv1_RM|210000|232500|232000|1|3|1|0.2625|0|0.5
hv2_RM|210000|232500|232000|1|2.4|2.2|0.2625|0|0.5
hv1_SR|210000|232500|232000|1|5.8|2.4|0.165|0|0.5
hv2_SR|210000|232500|232000|1|4.6|1.2|0.165|0|0.5
hv7_SR|210000|232500|232000|1|3.6|1.2|0.165|0|0.5
hv1_TA|210000|232500|232000|1|2.8|1|0.33|0|0.5
hv2_TA|210000|232500|232000|1|2.8|1.2|0.33|0|0.5
hv6_TA|210000|232500|232000|1|2.6|1.2|0.33|0|0.5
hv7_TA|210000|232500|232000|1|2|1|0.33|0|0.5
hv8_TA|210000|232500|232000|1|2.6|1|0.33|0|0.5
hv9_TA|210000|232500|232000|1|1.6|1.2|0.33|0|0.5
hv1_ZC|210000|232500|232000|1|2.8|1.6|0.11025|0|0.5
hv2_ZC|210000|232500|232000|1|5.2|2.8|0.11025|0|0.5
hv6_ZC|210000|232500|232000|1|3.8|3|0.11025|0|0.5
hv7_ZC|210000|232500|232000|1|4.8|1|0.11025|0|0.5
hv8_ZC|210000|232500|232000|1|3.2|1.2|0.11025|0|0.5
